Location,Altitude (m),Proximity to Industry (km),Population,Density (people/km²),Urbanization (%),Average Income (USD),Education Level (% with Bachelor's or higher),lon,lat,AQI,co,no,no2,o3,so2,pm2_5,pm10,nh3
Los Angeles,89,5.0,10039107,3276,89,60000,32,-118.242766,34.0536909,5,440.6,2.21,32.9,311.85,23.13,47.53,57.61,2.69
Paris,35,3.0,2140526,21383,98,45000,29,2.320041,48.8588897,1,243.66,0.14,9.0,54.36,1.68,1.7,2.68,2.15
Tokyo,40,2.0,13929286,6169,100,55000,37,139.762221,35.6821936,1,230.31,0.18,21.76,11.98,9.18,4.23,6.63,1.39
Antananarivo,1276,0.5,1391433,3097,69,1000,10,47.5256,-18.91,2,674.25,0.0,4.97,33.26,2.74,20.29,32.98,8.49
Nairobi,1795,1.0,4397073,6000,61,1500,12,36.8172,-1.2833,3,794.41,0.0,8.91,40.77,3.79,31.45,57.07,13.93
Lima,1540,1.5,9674755,3220,81,4500,15,-77.0365256,-12.0621065,2,270.37,1.43,4.24,64.37,3.64,4.86,14.29,1.74
