Location,Altitude (m),Proximity to Industry (km),Population,Density (people/km²),Urbanization (%),Average Income (USD),Education Level (% with Bachelor's or higher),lon,lat,AQI,co,no,no2,o3,so2,pm2_5,pm10,nh3
Los Angeles,89,5.0,10039107,3276,89,60000,32,-118.242766,34.0536909,2,397.21,0.09,47.3,76.53,5.96,10.58,17.15,1.98
Paris,35,3.0,2140526,21383,98,45000,29,2.320041,48.8588897,1,257.02,0.03,10.45,25.75,1.31,7.64,14.57,1.3
Tokyo,40,2.0,13929286,6169,100,55000,37,139.762221,35.6821936,3,297.07,0.66,4.71,123.02,12.52,6.45,7.34,0.49
Antananarivo,1276,0.5,1391433,3097,69,1000,10,47.5256,-18.91,1,413.9,0.0,1.71,37.91,1.27,5.51,10.47,3.33
Nairobi,1795,1.0,4397073,6000,61,1500,12,36.8172,-1.2833,4,1468.66,0.49,13.37,6.62,1.67,62.91,81.66,8.61
Lima,1540,1.5,9674755,3220,81,4500,15,-77.0365256,-12.0621065,2,440.6,0.07,23.99,30.04,15.14,12.28,28.76,2.66
