Location,Altitude (m),Proximity to Industry (km),Population,Density (people/km²),Urbanization (%),Average Income (USD),Education Level (% with Bachelor's or higher),lon,lat,AQI,co,no,no2,o3,so2,pm2_5,pm10,nh3
Los Angeles,89,5.0,10039107,3276,89,60000,32,-118.242766,34.0536909,3,827.79,24.59,132.98,108.72,23.13,36.58,49.61,5.7
Paris,35,3.0,2140526,21383,98,45000,29,2.320041,48.8588897,2,233.65,0.48,3.94,77.96,1.06,1.61,2.32,1.57
Tokyo,40,2.0,13929286,6169,100,55000,37,139.762221,35.6821936,1,233.65,0.1,22.28,14.66,8.82,4.07,6.31,1.27
Antananarivo,1276,0.5,1391433,3097,69,1000,10,47.5256,-18.91,2,627.52,0.0,4.54,45.42,3.25,16.88,29.54,11.65
Nairobi,1795,1.0,4397073,6000,61,1500,12,36.8172,-1.2833,3,1201.63,0.0,17.65,37.19,3.87,47.33,82.82,23.31
Lima,1540,1.5,9674755,3220,81,4500,15,-77.0365256,-12.0621065,1,257.02,1.31,4.41,51.5,3.37,3.17,11.81,2.01
