Location,Altitude (m),Proximity to Industry (km),Population,Density (people/km²),Urbanization (%),Average Income (USD),Education Level (% with Bachelor's or higher),lon,lat,AQI,co,no,no2,o3,so2,pm2_5,pm10,nh3
Los Angeles,89,5.0,10039107,3276,89,60000,32,-118.242766,34.0536909,3,320.44,0.04,31.19,105.86,7.45,21.03,34.98,0.67
Paris,35,3.0,2140526,21383,98,45000,29,2.320041,48.8588897,1,270.37,0.14,12.85,15.02,1.13,5.58,7.86,2.03
Tokyo,40,2.0,13929286,6169,100,55000,37,139.762221,35.6821936,3,277.04,0.61,4.93,131.61,6.5,6.14,7.56,0.77
Antananarivo,1276,0.5,1391433,3097,69,1000,10,47.5256,-18.91,1,467.3,0.0,1.84,45.06,1.8,5.37,12.43,4.43
Nairobi,1795,1.0,4397073,6000,61,1500,12,36.8172,-1.2833,2,1014.71,0.0,6.94,23.6,4.35,17.25,39.85,14.31
Lima,1540,1.5,9674755,3220,81,4500,15,-77.0365256,-12.0621065,3,627.52,0.01,37.01,36.84,24.08,30.87,51.31,4.12
