Location,Altitude (m),Proximity to Industry (km),Population,Density (people/km²),Urbanization (%),Average Income (USD),Education Level (% with Bachelor's or higher),lon,lat,AQI,co,no,no2,o3,so2,pm2_5,pm10,nh3
Los Angeles,89,5.0,10039107,3276,89,60000,32,-118.242766,34.0536909,3,357.15,3.86,31.53,105.86,6.79,8.97,14.82,1.57
Paris,35,3.0,2140526,21383,98,45000,29,2.320041,48.8588897,1,300.41,0.01,15.59,30.76,2.62,4.01,5.48,1.06
Tokyo,40,2.0,13929286,6169,100,55000,37,139.762221,35.6821936,2,313.76,23.02,58.26,55.07,36.24,17.45,29.59,0.29
Antananarivo,1276,0.5,1391433,3097,69,1000,10,47.5256,-18.91,2,347.14,0.02,2.74,12.16,1.01,10.5,15.45,7.92
Nairobi,1795,1.0,4397073,6000,61,1500,12,36.8172,-1.2833,2,574.11,0.0,4.46,33.97,3.99,9.02,22.16,6.71
Lima,1540,1.5,9674755,3220,81,4500,15,-77.0365256,-12.0621065,3,801.09,13.97,49.35,0.32,24.8,25.28,34.43,5.13
