Location,Altitude (m),Proximity to Industry (km),Population,Density (people/km²),Urbanization (%),Average Income (USD),Education Level (% with Bachelor's or higher),lon,lat,AQI,co,no,no2,o3,so2,pm2_5,pm10,nh3
Los Angeles,89,5.0,10039107,3276,89,60000,32,-118.242766,34.0536909,3,383.85,3.05,38.39,118.73,8.46,10.94,16.64,1.95
Paris,35,3.0,2140526,21383,98,45000,29,2.320041,48.8588897,2,353.81,0.47,27.76,11.98,2.83,12.12,16.19,9.5
Tokyo,40,2.0,13929286,6169,100,55000,37,139.762221,35.6821936,3,360.49,46.49,75.4,33.97,40.05,20.26,30.1,1.09
Antananarivo,1276,0.5,1391433,3097,69,1000,10,47.5256,-18.91,1,290.39,0.02,1.69,12.7,0.29,7.13,10.45,1.17
Nairobi,1795,1.0,4397073,6000,61,1500,12,36.8172,-1.2833,2,707.63,0.01,4.97,25.75,0.95,20.17,45.8,5.13
Lima,1540,1.5,9674755,3220,81,4500,15,-77.0365256,-12.0621065,2,807.76,16.54,48.67,0.17,26.46,22.41,34.77,5.38
