Location,Altitude (m),Proximity to Industry (km),Population,Density (people/km²),Urbanization (%),Average Income (USD),Education Level (% with Bachelor's or higher),lon,lat,AQI,co,no,no2,o3,so2,pm2_5,pm10,nh3
Los Angeles,89,5.0,10039107,3276,89,60000,32,-118.242766,34.0536909,2,387.19,6.43,43.53,90.84,9.3,8.62,13.86,2.18
Paris,35,3.0,2140526,21383,98,45000,29,2.320041,48.8588897,1,317.1,0.0,16.62,50.78,3.37,6.59,9.96,1.46
Tokyo,40,2.0,13929286,6169,100,55000,37,139.762221,35.6821936,2,310.42,19.0,58.26,42.56,28.85,15.41,25.5,1.2
Antananarivo,1276,0.5,1391433,3097,69,1000,10,47.5256,-18.91,1,236.99,0.0,0.64,52.21,0.24,1.98,3.71,0.71
Nairobi,1795,1.0,4397073,6000,61,1500,12,36.8172,-1.2833,3,881.2,0.02,7.11,17.52,0.92,34.38,63.57,5.32
Lima,1540,1.5,9674755,3220,81,4500,15,-77.0365256,-12.0621065,3,934.6,19.67,51.41,0.15,25.27,29.57,44.36,6.65
