Location,Altitude (m),Proximity to Industry (km),Population,Density (people/km²),Urbanization (%),Average Income (USD),Education Level (% with Bachelor's or higher),lon,lat,AQI,co,no,no2,o3,so2,pm2_5,pm10,nh3
Los Angeles,89,5.0,10039107,3276,89,60000,32,-118.242766,34.0536909,3,453.95,0.16,82.94,21.82,11.8,18.09,34.39,2.66
Paris,35,3.0,2140526,21383,98,45000,29,2.320041,48.8588897,2,360.49,3.97,28.1,2.73,3.76,10.2,14.08,10.01
Tokyo,40,2.0,13929286,6169,100,55000,37,139.762221,35.6821936,5,267.03,0.89,24.33,226.02,30.99,33.9,37.56,0.0
Antananarivo,1276,0.5,1391433,3097,69,1000,10,47.5256,-18.91,1,453.95,0.14,2.1,46.49,1.82,6.06,10.54,5.0
Nairobi,1795,1.0,4397073,6000,61,1500,12,36.8172,-1.2833,3,1615.52,0.5,19.36,9.39,3.82,43.96,71.21,15.71
Lima,1540,1.5,9674755,3220,81,4500,15,-77.0365256,-12.0621065,2,353.81,0.02,17.31,33.98,10.25,7.23,20.05,5.64
